URL,Title,ISSN,Homepage,How to publish,Publisher,Subject Area and Category
https://www.scimagojr.com/journalsearch.php?q=4700152809&tip=sid&clean=0,Data Science Journal,16831470,https://datascience.codata.org/,https://datascience.codata.org/about/submissions/,Ubiquity Press,"Computer Science, Computer Science Applications, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=21101066249&tip=sid&clean=0,IEEE Open Journal of Intelligent Transportation Systems,26877813,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8784355,https://mc.manuscriptcentral.com/oj-its,Institute of Electrical and Electronics Engineers Inc.,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100912216&tip=sid&clean=0,IET Cyber-Physical Systems: Theory and Applications,23983396,https://ietresearch.onlinelibrary.wiley.com/journal/23983396,https://ietresearch.onlinelibrary.wiley.com/hub/journal/23983396/homepage/author-guidelines,John Wiley & Sons Inc.,"Computer Science, Artificial Intelligence, Computer Networks and Communications, Computer Science Applications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=5400152646&tip=sid&clean=0,IET Image Processing,"17519659, 17519667",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4149689,https://digital-library.theiet.org/journals/author-guide,John Wiley & Sons Inc.,"Computer Science, Computer Vision and Pattern Recognition, Signal Processing, Software"
https://www.scimagojr.com/journalsearch.php?q=21100829272&tip=sid&clean=0,Electronics (Switzerland),20799292,https://www.mdpi.com/journal/electronics,https://www.mdpi.com/journal/electronics/instructions#submission,Multidisciplinary Digital Publishing Institute (MDPI),"Computer Science, Computer Networks and Communications, Hardware and Architecture, Signal Processing"
https://www.scimagojr.com/journalsearch.php?q=21100203114&tip=sid&clean=0,Journal of Computer Networks and Communications,"20907141, 2090715X",https://www.hindawi.com/journals/jcnc/,https://www.hindawi.com/journals/jcnc/guidelines/,Hindawi Limited,"Computer Science, Computer Networks and Communications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21100900141&tip=sid&clean=0,"Pixel-Bit, Revista de Medios y Educacion","11338482, 21717966",https://recyt.fecyt.es/index.php/pixel/index,https://recyt.fecyt.es/index.php/pixel/normasyenvio,Universidad de Sevilla Universidad de Sevilla in Scimago Institutions Rankings,"Computer Science, Computer Networks and Communications, Computer Science Applications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=23673&tip=sid&clean=0,Applied Artificial Intelligence,"08839514, 10876545",https://www.tandfonline.com/toc/uaai20/current,https://www.editorialmanager.com/uaai/default.aspx,Taylor and Francis Ltd.,"Computer Science, Artificial Intelligence"
https://www.scimagojr.com/journalsearch.php?q=21101052354&tip=sid&clean=0,Frontiers in Big Data,2624909X,https://www.frontiersin.org/journals/big-data,https://www.frontiersin.org/journals/big-data/about#about-submission,Frontiers Media SA,"Computer Science, Artificial Intelligence, Computer Science (miscellaneous), Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21100199837&tip=sid&clean=0,Frontiers in Neurorobotics,16625218,https://www.frontiersin.org/journals/neurorobotics,https://www.frontiersin.org/journals/neurorobotics#about,Frontiers Media SA,"Computer Science, Artificial Intelligence"
https://www.scimagojr.com/journalsearch.php?q=21100942171&tip=sid&clean=0,Infrastructures,24123811,https://www.mdpi.com/journal/infrastructures,https://www.mdpi.com/journal/infrastructures/instructions#submission,Multidisciplinary Digital Publishing Institute (MDPI),"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101096774&tip=sid&clean=0,Intelligent Medicine,"20969376, 26671026",https://www.sciencedirect.com/journal/intelligent-medicine,https://www2.cloud.editorialmanager.com/imed/default2.aspx,Chinese Medical Association,"Computer Science, Artificial Intelligence"
https://www.scimagojr.com/journalsearch.php?q=21100394784&tip=sid&clean=0,International Journal of Interactive Mobile Technologies,18657923,https://www.online-journals.org/index.php/i-jim,https://www.online-journals.org/index.php/i-jim/about/submissions#onlineSubmissions,International Association of Online Engineering,"Computer Science, Computer Networks and Communications, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101089657&tip=sid&clean=0,Drone Systems and Applications,25644939,https://cdnsciencepub.com/journal/dsa,https://mc06.manuscriptcentral.com/dsa-pubs,Canadian Science Publishing,"Computer Science, Computer Science Applications"
